Reference,Mid X,Mid Y,Rotation,Layer
C1,167.481424,-85.894214,0,bottom
C2,176.181424,-101.084214,90,bottom
C3,170.991424,-101.734214,0,bottom
C4,169.131424,-84.244214,90,bottom
C5,173.861424,-84.274214,90,bottom
C6,168.911424,-101.724214,0,bottom
C7,167.961424,-84.254214,90,bottom
C8,172.711424,-84.244214,90,bottom
C9,180.031424,-89.484214,0,bottom
C10,180.071424,-92.904214,0,bottom
C11,168.901424,-100.354214,0,bottom
C12,167.461424,-93.074214,180,bottom
C13,167.471424,-89.414214,180,bottom
C14,62.041424,-33.584214,90,bottom
C15,67.721424,-35.254214,90,bottom
D1,36.5,-53.3,90,bottom
D2,54.48,-53.23,90,bottom
D3,74.61,-53.22,90,bottom
D4,93.63,-53.2875,90,bottom
D5,112.71,-53.25,90,bottom
D6,131.76,-53.29,90,bottom
D7,150.83,-53.18,90,bottom
D8,174.68,-53.17,90,bottom
D9,193.68,-53.1875,90,bottom
D10,212.75,-53.2,90,bottom
D11,231.77,-53.26,90,bottom
D12,250.83,-53.3,90,bottom
D13,269.92,-53.21,90,bottom
D14,291.561424,-51.144214,90,bottom
D15,41.31,-72.29,90,bottom
D16,60.261424,-71.404214,90,bottom
D17,79.33,-72.36,90,bottom
D18,98.48,-72.3,90,bottom
D19,117.56,-72.36,90,bottom
D20,136.53,-72.35,90,bottom
D21,155.47,-72.36,90,bottom
D22,196.031424,-72.364214,90,bottom
D23,198.39,-72.3675,90,bottom
D24,217.46,-72.3975,90,bottom
D25,236.51,-72.37,90,bottom
D26,255.56,-72.35,90,bottom
D27,274.61,-72.35,90,bottom
D28,293.67,-72.35,90,bottom
D29,43.69,-91.3075,90,bottom
D30,69.8,-91.3975,90,bottom
D31,88.86,-91.4,90,bottom
D32,107.95,-91.39,90,bottom
D33,126.94,-91.37,90,bottom
D34,146,-91.41,90,bottom
D35,188.88,-91.4,90,bottom
D36,207.95,-91.39,90,bottom
D37,226.96,-91.43,90,bottom
D38,245.97,-91.44,90,bottom
D39,265.06,-91.44,90,bottom
D40,284.08,-91.46,90,bottom
D41,303.15,-91.46,90,bottom
D42,38.87,-110.4175,90,bottom
D43,64.31,-110.52,90,bottom
D44,86.47,-110.47,90,bottom
D45,124.59,-110.4375,90,bottom
D46,205.53,-110.47,90,bottom
D47,241.32,-110.48,90,bottom
D48,265.09,-110.42,90,bottom
D49,284.1,-110.4975,90,bottom
D50,303.12,-110.52,90,bottom
DS1,59.968924,-35.774214,180,bottom
F1,59.481424,-33.544214,0,bottom
J1,51.552642,-32.494214,0,bottom
R1,167.491424,-87.074214,0,bottom
R2,167.481424,-88.274214,180,bottom
R3,170.971424,-100.334214,180,bottom
R4,171.471424,-84.264214,-90,bottom
R5,170.291424,-84.254214,-90,bottom
R6,180.031424,-88.304214,0,bottom
R7,180.011424,-87.034214,180,bottom
R8,49.141424,-39.054214,-90,bottom
R9,53.691424,-39.044214,-90,bottom
RST1,63.940918,-77.10504,180,bottom
U1,173.911424,-92.094214,180,bottom
U2,180.611424,-80.089214,180,bottom
U3,64.983924,-34.786714,0,bottom
U4,51.451424,-39.044214,-90,bottom
Y1,173.716424,-101.024214,180,bottom
SW1,42.51,-48.53,0,bottom
SW2,61.56,-48.53,0,bottom
SW3,80.61,-48.53,0,bottom
SW4,99.66,-48.53,0,bottom
SW5,118.71,-48.53,0,bottom
SW6,137.76,-48.53,0,bottom
SW7,156.81,-48.53,0,bottom
SW8,180.6225,-48.53,0,bottom
SW9,199.6725,-48.53,0,bottom
SW10,218.7225,-48.53,0,bottom
SW11,237.7725,-48.53,0,bottom
SW12,256.8225,-48.53,0,bottom
SW13,275.8725,-48.53,0,bottom
SW14,299.685,-48.53,0,bottom
SW15,47.2725,-67.58,0,bottom
SW16,66.3225,-67.58,0,bottom
SW17,85.3725,-67.58,0,bottom
SW18,104.4225,-67.58,0,bottom
SW19,123.4725,-67.58,0,bottom
SW20,142.5225,-67.58,0,bottom
SW21,161.5725,-67.58,0,bottom
SW22,185.385,-67.58,180,bottom
SW23,204.435,-67.58,0,bottom
SW24,223.485,-67.58,0,bottom
SW25,242.535,-67.58,0,bottom
SW26,261.585,-67.58,0,bottom
SW27,280.635,-67.58,0,bottom
SW28,299.685,-67.58,0,bottom
SW29,49.65375,-86.63,0,bottom
SW30,75.8475,-86.63,0,bottom
SW31,94.8975,-86.63,0,bottom
SW32,113.9475,-86.63,0,bottom
SW33,132.9975,-86.63,0,bottom
SW34,152.0475,-86.63,0,bottom
SW35,194.91,-86.63,0,bottom
SW36,213.96,-86.63,0,bottom
SW37,233.01,-86.63,0,bottom
SW38,252.06,-86.63,0,bottom
SW39,271.11,-86.63,0,bottom
SW40,290.16,-86.63,0,bottom
SW41,309.21,-86.63,0,bottom
SW42,44.89125,-105.68,0,bottom
SW43,68.70375,-105.68,0,bottom
SW44,92.51625,-105.68,0,bottom
SW45,130.61625,-105.68,0,bottom
SW46,211.57875,-105.68,0,bottom
SW47,247.2975,-105.68,0,bottom
SW48,271.11,-105.68,0,bottom
SW49,290.16,-105.68,0,bottom
SW50,309.21,-105.68,0,bottom